experiment,game_index,red_ai,black_ai,winner,plies,red_total_time_s,black_total_time_s,red_avg_time_s,black_avg_time_s,material_diff,error
"B: MinimaxAI(depth=5) vs MCTSMinimaxAI(sims=8000, workers=8)",7,MinimaxAI,MCTSMinimaxAI,red,41,378.2906207999986,41.11888219999673,18.013839085714217,2.0559441099998366,12,
"B: MinimaxAI(depth=5) vs MCTSMinimaxAI(sims=8000, workers=8)",8,MCTSMinimaxAI,MinimaxAI,black,36,36.93907439999384,174.488792199998,2.052170799999658,9.693821788888776,-10,
"B: MinimaxAI(depth=5) vs MCTSMinimaxAI(sims=8000, workers=8)",9,MinimaxAI,MCTSMinimaxAI,red,17,123.84835850000673,16.00891799999954,13.76092872222297,2.0011147499999424,6,
"B: MinimaxAI(depth=5) vs MCTSMinimaxAI(sims=8000, workers=8)",10,MCTSMinimaxAI,MinimaxAI,black,44,50.66729250000208,154.33764270000393,2.3030587500000945,7.015347395454724,-13,
"C: MCTSAI(sims=8000, workers=8) vs MCTSMinimaxAI(sims=8000, workers=8)",1,MCTSAI,MCTSMinimaxAI,red,145,172.97026620000543,1817.9830703000007,2.3694557013699376,25.249764865277786,6,
"C: MCTSAI(sims=8000, workers=8) vs MCTSMinimaxAI(sims=8000, workers=8)",2,MCTSMinimaxAI,MCTSAI,draw,103,103.34104780000052,129.985225299999,1.9873278423077023,2.548729907843118,2,
"C: MCTSAI(sims=8000, workers=8) vs MCTSMinimaxAI(sims=8000, workers=8)",3,MCTSAI,MCTSMinimaxAI,red,109,109.16718510000646,102.0682256,1.9848579109092084,1.890152325925926,-4,
"C: MCTSAI(sims=8000, workers=8) vs MCTSMinimaxAI(sims=8000, workers=8)",4,MCTSMinimaxAI,MCTSAI,error,58,38.41306009999607,48.016301199993904,1.3245882793102095,1.6557345241377208,7,"BrokenProcessPool: A process in the process pool was terminated abruptly while the future was running or pending.
Traceback (most recent call last):
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\infra\experiment_runner.py"", line 177, in run_single_game
    dt = time.perf_counter() - t0
           ~~~~~~~~~~~~~~~~~~^~~~~
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\infra\experiment_runner.py"", line 118, in _pick_move
    board,
       ^^^
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\ai\mcts_minimax_ai.py"", line 611, in choose_move
    return self.get_best_move(
           ^^^^^^^^^^^^^^^^^^^
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\ai\mcts_minimax_ai.py"", line 659, in get_best_move
    child_stats = self._parallel_search(
                  ^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\ai\mcts_minimax_ai.py"", line 760, in _parallel_search
    results = [f.result() for f in futures]
              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\ai\mcts_minimax_ai.py"", line 760, in <listcomp>
    results = [f.result() for f in futures]
               ^^^^^^^^^^
  File ""C:\Users\XZH2005\.conda\envs\chessai\Lib\concurrent\futures\_base.py"", line 456, in result
    return self.__get_result()
           ^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\XZH2005\.conda\envs\chessai\Lib\concurrent\futures\_base.py"", line 401, in __get_result
    raise self._exception
concurrent.futures.process.BrokenProcessPool: A process in the process pool was terminated abruptly while the future was running or pending.
"
"C: MCTSAI(sims=8000, workers=8) vs MCTSMinimaxAI(sims=8000, workers=8)",5,MCTSAI,MCTSMinimaxAI,error,1,1.6856205000003683,0.0,1.6856205000003683,0.0,0,"BrokenProcessPool: A process in the process pool was terminated abruptly while the future was running or pending.
Traceback (most recent call last):
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\infra\experiment_runner.py"", line 177, in run_single_game
    dt = time.perf_counter() - t0
           ~~~~~~~~~~~~~~~~~~^~~~~
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\infra\experiment_runner.py"", line 118, in _pick_move
    board,
       ^^^
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\ai\mcts_minimax_ai.py"", line 611, in choose_move
    return self.get_best_move(
           ^^^^^^^^^^^^^^^^^^^
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\ai\mcts_minimax_ai.py"", line 659, in get_best_move
    child_stats = self._parallel_search(
                  ^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\ai\mcts_minimax_ai.py"", line 760, in _parallel_search
    results = [f.result() for f in futures]
              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\ai\mcts_minimax_ai.py"", line 760, in <listcomp>
    results = [f.result() for f in futures]
               ^^^^^^^^^^
  File ""C:\Users\XZH2005\.conda\envs\chessai\Lib\concurrent\futures\_base.py"", line 456, in result
    return self.__get_result()
           ^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\XZH2005\.conda\envs\chessai\Lib\concurrent\futures\_base.py"", line 401, in __get_result
    raise self._exception
concurrent.futures.process.BrokenProcessPool: A process in the process pool was terminated abruptly while the future was running or pending.
"
"C: MCTSAI(sims=8000, workers=8) vs MCTSMinimaxAI(sims=8000, workers=8)",6,MCTSMinimaxAI,MCTSAI,error,0,0.0,0.0,0.0,0.0,0,"BrokenProcessPool: A process in the process pool was terminated abruptly while the future was running or pending.
Traceback (most recent call last):
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\infra\experiment_runner.py"", line 177, in run_single_game
    dt = time.perf_counter() - t0
           ~~~~~~~~~~~~~~~~~~^~~~~
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\infra\experiment_runner.py"", line 118, in _pick_move
    board,
       ^^^
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\ai\mcts_minimax_ai.py"", line 611, in choose_move
    return self.get_best_move(
           ^^^^^^^^^^^^^^^^^^^
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\ai\mcts_minimax_ai.py"", line 659, in get_best_move
    child_stats = self._parallel_search(
                  ^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\ai\mcts_minimax_ai.py"", line 760, in _parallel_search
    results = [f.result() for f in futures]
              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\ai\mcts_minimax_ai.py"", line 760, in <listcomp>
    results = [f.result() for f in futures]
               ^^^^^^^^^^
  File ""C:\Users\XZH2005\.conda\envs\chessai\Lib\concurrent\futures\_base.py"", line 456, in result
    return self.__get_result()
           ^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\XZH2005\.conda\envs\chessai\Lib\concurrent\futures\_base.py"", line 401, in __get_result
    raise self._exception
concurrent.futures.process.BrokenProcessPool: A process in the process pool was terminated abruptly while the future was running or pending.
"
